bid,单位面积穗数(万),千粒重(g),每穗粒数,亩产量(kg)
1344,37.2,32.5,34.6,418.31
1345,0,44.0,38.3,0
1346,43.8,43.8,35,671.45
1348,41.9,37.8,36.1,571.76
1349,38.1,46.7,36,640.54
1350,30.3,41.3,38.3,479.28
1352,42.00,37.95,32.70,521.21
1353,21.04,47.3,45.3,450.82
1354,40.95,49.65,31.95,649.60
1355,43.8,43.4,35.9,682.43
1356,33.85,47.45,33.45,537.27
1357,37.85,46.70,37.15,656.66
1358,44.7,46.7,32.8,684.70
1359,0,41.3,42.3,0
1361,37.0,48.3,33.3,595.10
1362,35.3,40.3,31.7,450.96
1363,36.4,35.0,33.8,430.61
1364,32.2,42.9,37.3,515.25
1365,0,41.3,37.0,0
1366,29.0,36.5,40.6,429.75
1368,41.4,43.3,33.8,605.91
1369,35.7,36.2,34.2,441.98
1370,25.0,54.8,44.0,602.80
1372,37.9,47.3,35.1,629.23
1373,19.6,47.4,45.0,418.07
1374,42.10,45.80,30.70,591.95
1375,21.6,44.4,36.7,351.97
1376,41.6,41.6,34.1,590.12
1378,36.9,49.1,35.8,648.62
1379,0,40,29,0
1380,38.95,43.50,36.60,620.12
1381,45.1,43.3,34.6,675.68
1382,48.9,38.2,34.0,635.11
1383,0,45.0,0,0
1384,33.85,38.30,38.45,498.49
1385,38.8,43.4,32.9,554.01
1387,37.30,44.10,34.10,560.92
1388,36.75,46.25,32.45,551.55
1393,33.1,38.9,37.3,480.27
1394,35.85,45.30,35.60,578.15
1395,20.9,44.4,44.5,412.94
1396,39.1,41.4,32.7,529.33
1397,19.6,49.8,42.2,411.91
1398,37.85,46.75,34.50,610.47
1399,37.10,47.50,35.30,622.07
1400,22,48,47,496.32
1401,38.65,43.75,35.95,607.89
1402,24.2,44.2,0,0
1403,37.50,43.85,35.00,575.53
1405,31.1,44.2,0,0
1406,21.5,41.8,46.5,417.90
1407,20.13,47.9,44.8,431.97
1408,38.7,43,36.7,610.72
1409,45.2,41.9,33.2,628.77
1411,39.2,33.5,32.5,426.79
1412,44.50,42.00,31.50,588.74
1413,38.90,47.15,34.50,632.78
1415,38.90,44.75,34.70,604.05
1416,28.3,41.7,37.9,447.26
1417,40.7,45.4,35.2,650.42
1418,42.9,42.0,32.3,581.98
1419,36.25,47.35,33.45,574.15
1423,33.0,44.1,0,0
1424,47.9,42.8,33.2,680.64
1425,45.2,40.1,32.7,592.69
1427,45.00,40.00,32.50,585.00
1429,47.50,39.00,32.00,592.80
1430,29.7,39.4,39.6,463.39
1431,0,45,0,0
1432,39.30,45.40,32.30,576.30
1433,30.40,43.40,36.40,480.25
1435,0,46.0,38,0
1437,38.45,39.75,36.20,553.28
1438,34.20,46.60,36.25,577.72
1439,21.2,45.2,44.2,423.54
1441,46.00,42.00,30.00,579.60
1442,41,40.2,37.0,609.83
1443,35.70,47.35,32.00,540.93
1444,42,43.4,34.1,621.57
1445,0,43.2,43,0
1446,37.6,44.5,26.9,450.09
1447,43.50,40.00,32.50,565.50
1448,21.5,49.8,43.6,466.83
1449,0,40.18,51.12,0
1450,40.05,42.55,36.10,615.19
1451,32.5,43.2,34.8,488.59
1452,45.50,45.00,30.50,624.49
1453,39.5,45.7,34.1,615.56
1454,45,44.2,34.1,678.25
1455,21.9,44.7,45.2,442.48
1456,19.7,37.4,54.2,399.33
1457,31.1,40.0,37.7,468.99
1458,0,36.5,31.50,0
1459,29.95,45.90,35.95,494.21
1460,26.0,45.0,39.1,457.47
1461,42.65,40.80,36.40,633.40
1462,38.35,45.35,36.75,639.15
1463,19.8,42.2,49.8,416.11
1464,46.2,39.8,35.4,650.92
1466,19.9,44.5,50.9,450.74
1467,40.3,47.6,32.0,613.85
1468,30.1,38.6,38.7,449.64
1469,40.3,43.3,36.1,629.94
1471,22.2,42.7,49.8,472.07
1472,18.81,45.55,41.10,352.14
1473,42.05,42.00,32.25,569.57
1474,40.30,43.70,32.60,574.12
1475,0,35.9,35.1,0
1476,42,42.7,32.8,588.24
1477,37.45,47.85,31.55,565.37
1478,39.20,46.00,34.15,615.79
1479,31.0,39.8,37.2,458.97
1480,20.5,44.3,41.7,378.70
1481,0,43.2,39,0
1482,41.3,44.5,33.0,606.49
1483,38.35,46.20,35.60,630.75
1484,23.8,47.4,41.6,469.30
1485,0,33.25,34.10,0
1486,30.4,41.0,39.8,496.07
1487,0,40.6,34,0
1488,43,43,33,610.17
1489,0,41,40,0
1490,42.20,41.40,31.75,554.70
1491,0,40.1,37.2,0
1494,39.20,49.65,33.05,643.25
